from,to,weight
v40_h111,v40_h64,0.009800699539482594
v40_h111,v40_h80,0.014000999741256237
v40_h111,v40_h89,0.016800999641418457
v40_h111,v40_h96,0.008400600403547287
v40_h111,v40_h114,0.01820099912583828
v40_h111,v40_h120,0.06261999905109406
v40_h111,v40_h123,0.05701899901032448
v40_h111,v40_h126,0.02520200051367283
v40_h111,v40_h140,0.011200999841094017
v40_h111,v40_h142,0.008400600403547287
v40_h111,v40_h145,0.0028001999016851187
v40_h111,v40_h152,0.0070004998706281185
v40_h111,v40_h161,0.0028001999016851187
v40_h111,v40_h169,0.014000999741256237
v40_h111,v40_h170,0.0070004998706281185
v40_h111,v40_h173,0.0070004998706281185
v40_h111,v40_h174,0.012601000256836414
v40_h111,v40_h180,0.0042003002017736435
v40_h111,v40_h185,0.011200999841094017
v40_h111,v40_h186,0.005600399803370237
v40_h111,v40_h199,0.005600399803370237
v40_h111,v40_h231,0.0028001999016851187
v40_h112,v40_h6,0.0028001999016851187
v40_h112,v40_h7,0.0028001999016851187
v40_h112,v40_h9,0.0014000999508425593
